MutationType,ID15_GRCh37
1:Del:C:0,0.026527369337078
1:Del:C:1,0.12100978700592
1:Del:C:2,0.147828864433683
1:Del:C:3,0.136006057901119
1:Del:C:4,0.0841976961066638
1:Del:C:5,0.0184582927326813
1:Del:T:0,0.0239516368486624
1:Del:T:1,0.0799601100183372
1:Del:T:2,0.120410466467629
1:Del:T:3,0.113431215342833
1:Del:T:4,0.079178831808195
1:Del:T:5,0.046903214753917
1:Ins:C:0,6.58004610552164e-18
1:Ins:C:1,6.58004610552164e-18
1:Ins:C:2,6.58004610552164e-18
1:Ins:C:3,6.58004610552164e-18
1:Ins:C:4,6.58004610552164e-18
1:Ins:C:5,6.58004610552164e-18
1:Ins:T:0,6.58004610552164e-18
1:Ins:T:1,6.58004610552164e-18
1:Ins:T:2,6.58004610552164e-18
1:Ins:T:3,6.58004610552164e-18
1:Ins:T:4,6.58004610552164e-18
1:Ins:T:5,6.58004610552164e-18
2:Del:R:0,6.58004610552164e-18
2:Del:R:1,6.58004610552164e-18
2:Del:R:2,6.58004610552164e-18
2:Del:R:3,6.58004610552164e-18
2:Del:R:4,6.58004610552164e-18
2:Del:R:5,6.58004610552164e-18
3:Del:R:0,6.58004610552164e-18
3:Del:R:1,6.58004610552164e-18
3:Del:R:2,9.35232649418986e-05
3:Del:R:3,6.58004610552164e-18
3:Del:R:4,6.58004610552164e-18
3:Del:R:5,6.58004610552164e-18
4:Del:R:0,6.58004610552164e-18
4:Del:R:1,6.58004610552164e-18
4:Del:R:2,6.58004610552164e-18
4:Del:R:3,1.39447221625922e-06
4:Del:R:4,6.58004610552164e-18
4:Del:R:5,1.7594366617604e-06
5:Del:R:0,0.000284018024499145
5:Del:R:1,6.58004610552164e-18
5:Del:R:2,6.58004610552164e-18
5:Del:R:3,1.2457865811275e-06
5:Del:R:4,6.58004610552164e-18
5:Del:R:5,1.73649230813665e-06
2:Ins:R:0,6.58004610552164e-18
2:Ins:R:1,6.58004610552164e-18
2:Ins:R:2,6.58004610552164e-18
2:Ins:R:3,6.58004610552164e-18
2:Ins:R:4,6.58004610552164e-18
2:Ins:R:5,6.58004610552164e-18
3:Ins:R:0,6.58004610552164e-18
3:Ins:R:1,6.58004610552164e-18
3:Ins:R:2,6.58004610552164e-18
3:Ins:R:3,6.58004610552164e-18
3:Ins:R:4,6.58004610552164e-18
3:Ins:R:5,6.58004610552164e-18
4:Ins:R:0,6.58004610552164e-18
4:Ins:R:1,6.58004610552164e-18
4:Ins:R:2,6.58004610552164e-18
4:Ins:R:3,1.36092421699612e-06
4:Ins:R:4,1.44599935194735e-06
4:Ins:R:5,6.58004610552164e-18
5:Ins:R:0,6.58004610552164e-18
5:Ins:R:1,6.58004610552164e-18
5:Ins:R:2,1.18199012643727e-06
5:Ins:R:3,1.621273088488e-06
5:Ins:R:4,6.58004610552164e-18
5:Ins:R:5,6.58004610552164e-18
2:Del:M:1,6.58004610552164e-18
3:Del:M:1,6.58004610552164e-18
3:Del:M:2,6.58004610552164e-18
4:Del:M:1,6.58004610552164e-18
4:Del:M:2,6.58004610552164e-18
4:Del:M:3,6.58004610552164e-18
5:Del:M:1,0.000660877105516124
5:Del:M:2,0.000432409450773911
5:Del:M:3,0.00026612607242146
5:Del:M:4,0.000247928132326935
5:Del:M:5,0.000139828818249736
2:Ins:M:1,0
3:Ins:M:1,0
3:Ins:M:2,0
4:Ins:M:1,0
4:Ins:M:2,0
4:Ins:M:3,0
5:Ins:M:1,0
5:Ins:M:2,0
5:Ins:M:3,0
5:Ins:M:4,0
5:Ins:M:5,0
complex,0
non_matching,0
